,index,name,metal_complex,SMILES,max_absorption_peak,max_emission_peak,solvant_spectrum,molar_extinction_coefficient,quantum_yield_fluorescence,max_phosphorescence_peak,quantum_yield_singlet_oxygen,solvant_quantum_yield,energy_level_exited_triplet_state,energy_level_HUMO,energy_level_LUMO,difference_HOMO_and_LUMO,method_for_HOMO/LUMO,all_absoption_peaks,reference_DOI
623,2_381, [Zn(L1-3)(cur)]Cl 2,TRUE,OC(C=C8)=C(OC)C=C8/C=C/C6=[O][Zn]13(OC(/C=C/C7=CC=C(O)C(OC)=C7)=C6)[N](CC4=[N]3C=CC=C4)(CC5=CC=C(C(C%10=C(C)C([H])=C(C)N%10[B](F)%11F)=C9[N]%11=C(C)C([H])=C9C)C=C5)CC2=[N]1C=CC=C2,501,506,1% DMSO-DPBS buffer medium (pH = 7.4),36700,0.54,,0.18, DMSO,,-7.17,-4.52,-2.65,,"262, 445, 501",10.1016/j.ejmech.2021.1 13438
624,2_382, [Zn(L1-3)(cur)]Cl 3,TRUE,OC(C=C8)=C(OC)C=C8/C=C/C6=[O][Zn]13(OC(/C=C/C7=CC=C(O)C(OC)=C7)=C6)[N](CC4=[N]3C=CC=C4)(CC5=CC=C(C(C%10=C(C)C(I)=C(C)N%10[B](F)%11F)=C9[N]%11=C(C)C(I)=C9C)C=C5)CC2=[N]1C=CC=C2,263,506,1% DMSO-DPBS buffer medium (pH= 7.4),39600,0.02,,0.73, DMSO,,-7.34,-4.55,-2.79,,"263, 437, 543 ",10.1016/j.ejmech.2021.1 13438
625,2_383,Pt (II) compounds 1a,TRUE,CC1=CC(C)=[N]([B](F)(F)N4C3=C(C)C(C5=CC=[N]([Pt]([NH3])([NH3])Cl)C=C5)=C4C)C1=C3C2=CC=CC=C2,511,526,DMSO,78300,0.55,,0.19,MeOH,,,,,,,10.1016/j.jinorgbio.2021.111394 
626,2_383,Pt (II) compounds 1a,TRUE,CC1=CC(C)=[N]([B](F)(F)N4C3=C(C)C(C5=CC=[N]([Pt]([NH3])([NH3])Cl)C=C5)=C4C)C1=C3C2=CC=CC=C2,506,519,PBS containing 5% DMSO (V/V) ,33300,0.27,,0.19,MeOH,,,,,,,10.1016/j.jinorgbio.2021.111394 
627,2_384,Pt (II) compounds 2a,TRUE,CC1=C(C6=CC=[N]([Pt]([NH3])([NH3])Cl)C=C6)C(C)=[N]([B](F)(F)N4C3=C(C)C(C5=CC=[N]([Pt]([NH3])([NH3])Cl)C=C5)=C4C)C1=C3C2=CC=CC=C2,525,541,DMSO,57100,0.32,,0.14,MeOH,,,,,,,10.1016/j.jinorgbio.2021.111394 
628,2_384,Pt (II) compounds 2a,TRUE,CC1=C(C6=CC=[N]([Pt]([NH3])([NH3])Cl)C=C6)C(C)=[N]([B](F)(F)N4C3=C(C)C(C5=CC=[N]([Pt]([NH3])([NH3])Cl)C=C5)=C4C)C1=C3C2=CC=CC=C2,519,533, PBS containing 5% DMSO (V/V) ,26300,0.14,,0.14,MeOH,,,,,,,10.1016/j.jinorgbio.2021.111394 
629,2_385,B-2,FALSE,CC1=C(I)C(C)=[N]([B](F)(F)N4C3=C(C)C(I)=C4C)C1=C3C2=CC=C(OCCN=[N+]=[N-])C=C2,537,553,toluene,88400,0.078,,0.74,CH2Cl2,,,,,,,10.1039/c5tc01222h
630,2_388,SB1a,FALSE,F[B](N4C3=CC=C4C5=CC=C[Se]5)(F)[N]1=C(C6=CC=C[Se]6)C=CC1=C3C2=C(C)C=C(C)C=C2C,631,657,CHCl3,67000,0.69,,0.05,CHCl3,,,,,,,10.1021/acs.joc.8b00782
631,2_389,SB1c,FALSE,F[B](N4C3=CC(C5=CC=C[Se]5)=C4)(F)[N]1=CC(C6=CC=C[Se]6)=CC1=C3C2=C(C)C=C(C)C=C2C,634,695,CHCl3,70000,0.063,,0.065,CHCl3,,,,,,,10.1021/acs.joc.8b00782
632,2_390,SB1d,FALSE,F[B](N4C3=CC(C7=CC=C[Se]7)=C4C5=CC=C[Se]5)(F)[N]1=C(C6=CC=C[Se]6)C(C8=CC=C[Se]8)=CC1=C3C2=C(C)C=C(C)C=C2C,653,704,CHCl3,53000,0.11,,0.27,CHCl3,,,,,,,10.1021/acs.joc.8b00782
633,2_391,SB1e,FALSE,F[B](N4C3=CC=C4C5=CC=C(I)[Se]5)(F)[N]1=C(C6=CC=C(I)[Se]6)C=CC1=C3C2=C(C)C=C(C)C=C2C,651,676,CHCl3,69000,0.51,,0.3,CHCl3,,,,,,,10.1021/acs.joc.8b00782
634,2_392,SB2a,FALSE,F[B](N4C3=CC=C4C5=CC=C(C8=CC=C(N8[B](F)9F)C(C%11=C(C)C=C(C)C=C%11C)=C7[N]9=C(C%10=CC=C[Se]%10)C=C7)[Se]5)(F)[N]1=C(C6=CC=C[Se]6)C=CC1=C3C2=C(C)C=C(C)C=C2C,785,842,CHCl3,88000,0.012,,0.29,CHCl3,,,,,,,10.1021/acs.joc.8b00782
635,2_393,TB1a,FALSE,F[B](N4C3=CC=C4C5=CC=CS5)(F)[N]1=C(C6=CC=CS6)C=CC1=C3C2=C(C)C=C(C)C=C2C,623,643,CHCl3,72000,0.78,,0.0042,CHCl3,,,,,,,10.1021/acs.joc.8b00782
636,2_394,TB1c,FALSE,F[B]2(F)N1C(C(C6=C(C)C=C(C)C=C6C)=C3[N]2=CC(C4=CC=CS4)=C3)=CC(C5=CC=CS5)=C1,630,684,CHCl3,36000,0.11,,0.019,CHCl3,,,,,,,10.1021/acs.joc.8b00782
637,2_395,TB1d,FALSE,F[B](N4C3=CC(C7=CC=CS7)=C4C5=CC=CS5)(F)[N]1=C(C6=CC=CS6)C(C8=CC=CS8)=CC1=C3C2=C(C)C=C(C)C=C2C,640,699,CHCl3,55000,0.21,,0.028,CHCl3,,,,,,,10.1021/acs.joc.8b00782
638,2_396,TB2a,FALSE,F[B](N4C3=CC=C4C5=CC=C(C8=CC=C(N8[B](F)9F)C(C%11=C(C)C=C(C)C=C%11C)=C7[N]9=C(C%10=CC=CS%10)C=C7)S5)(F)[N]1=C(C6=CC=CS6)C=CC1=C3C2=C(C)C=C(C)C=C2C,780,820,CHCl3,74000,0.08,,0.13,CHCl3,,,,,,,10.1021/acs.joc.8b00782
639,2_397,BOD-Au,TRUE,CC3=[N]2[B](F)(F)N1C(C(C5=CC=CC=C5)=C2C(C)=C3C#C[Au][P](C6=CC=CC=C6)(C7=CC=CC=C7)C4=CC=CC=C4)=C(C)C=C1C,550,583,CH2Cl2,38000,0.05,,0.84,CH2Cl2,,,,,,,10.1021/acs.orglett.7b00791
640,2_398,[Pt(L)(cat)] 2 ,TRUE,CC3=[N]2[B](F)(F)N1C(C(C4=CC=C(CN5C(C(C=CC=C9)=[N]9[Pt]87OC(C=CC=C%10)=C%10O8)N7C6=C5C=CC=C6)C=C4)=C2C(C)=C3I)=C(C)C(I)=C1C,550,,10% DMSO/DPBS,13700,,,0.23,air-saturated DMF,,,,,,"315, 394, 525, 550",10.1002/cmdc.201600320
641,2_399,L2,FALSE,CC3=[N]2[B](F)(F)N1C(C(C4=CC=C(CN5C(C7=NC=CC=C7)=NC6=C5C=CC=C6)C=C4)=C2C(C)=C3I)=C(C)C(I)=C1C,550,,10% DMSO/DPBS,,,,0.48,air-saturated DMF,,,,,,"315, 388, 550",10.1002/cmdc.201600320
642,2_400,PY-TMBDP,FALSE,CC6=C2N(C(C)=C6)[B-]([N+]1=C(C)C=C(C)C1=C2C3=CC=C7C5=C3C=CC4=CC=CC(C=C7)=C45)(F)F,503,513,n-hexane,,0.83,,0.13,n-hexane,,,,,,,10.1002/asia.201700794
643,2_400,PY-TMBDP,FALSE,CC6=C2N(C(C)=C6)[B-]([N+]1=C(C)C=C(C)C1=C2C3=CC=C7C5=C3C=CC4=CC=CC(C=C7)=C45)(F)F,506,518,toluene,,0.83,,0.086,toluene,,,,,,,10.1002/asia.201700794
644,2_400,PY-TMBDP,FALSE,CC6=C2N(C(C)=C6)[B-]([N+]1=C(C)C=C(C)C1=C2C3=CC=C7C5=C3C=CC4=CC=CC(C=C7)=C45)(F)F,503,514,THF,,0.94,,0.2,THF,,,,,,,10.1002/asia.201700794
645,2_400,PY-TMBDP,FALSE,CC6=C2N(C(C)=C6)[B-]([N+]1=C(C)C=C(C)C1=C2C3=CC=C7C5=C3C=CC4=CC=CC(C=C7)=C45)(F)F,502,512,ethanol,,0.7,,0.34,ethanol,,,,,,,10.1002/asia.201700794
646,2_400,PY-TMBDP,FALSE,CC6=C2N(C(C)=C6)[B-]([N+]1=C(C)C=C(C)C1=C2C3=CC=C7C5=C3C=CC4=CC=CC(C=C7)=C45)(F)F,500,509,CH3CN,,0.59,,0.34,CH3CN,,,,,,,10.1002/asia.201700794
647,2_401,AN-TMBDP,FALSE,CC5=C2N(C(C)=C5)[B-]([N+]1=C(C)C=C(C)C1=C2C3=C(C=CC=C6)C6=CC4=C3C=CC=C4)(F)F,502,515,THF,,0.36,,0.21,THF,,,,,,,10.1002/asia.201700794
648,2_401,AN-TMBDP,FALSE,CC5=C2N(C(C)=C5)[B-]([N+]1=C(C)C=C(C)C1=C2C3=C(C=CC=C6)C6=CC4=C3C=CC=C4)(F)F,503,514,ethanol,,0.036,,0.58,ethanol,,,,,,,10.1002/asia.201700794
649,2_401,AN-TMBDP,FALSE,CC5=C2N(C(C)=C5)[B-]([N+]1=C(C)C=C(C)C1=C2C3=C(C=CC=C6)C6=CC4=C3C=CC=C4)(F)F,502,517,CH3CN,,0.009,,0.22,CH3CN,,,,,,,10.1002/asia.201700794
650,2_402,NP-TMBDP,FALSE,CC4=C2N(C(C)=C4)[B-]([N+]1=C(C)C=C(C)C1=C2C3=C(C=CC=C5)C5=CC=C3)(F)F,503,513,n-hexane,,0.87,,0.05,n-hexane,,,,,,,10.1002/asia.201700794
651,2_402,NP-TMBDP,FALSE,CC4=C2N(C(C)=C4)[B-]([N+]1=C(C)C=C(C)C1=C2C3=C(C=CC=C5)C5=CC=C3)(F)F,506,518,toluene,,0.77,,0.043,toluene,,,,,,,10.1002/asia.201700794
652,2_402,NP-TMBDP,FALSE,CC4=C2N(C(C)=C4)[B-]([N+]1=C(C)C=C(C)C1=C2C3=C(C=CC=C5)C5=CC=C3)(F)F,505,514,THF,,0.85,,0.13,THF,,,,,,,10.1002/asia.201700794
653,2_402,NP-TMBDP,FALSE,CC4=C2N(C(C)=C4)[B-]([N+]1=C(C)C=C(C)C1=C2C3=C(C=CC=C5)C5=CC=C3)(F)F,502,511,ethanol,,0.9,,0.041,ethanol,,,,,,,10.1002/asia.201700794
654,2_402,NP-TMBDP,FALSE,CC4=C2N(C(C)=C4)[B-]([N+]1=C(C)C=C(C)C1=C2C3=C(C=CC=C5)C5=CC=C3)(F)F,500,510,CH3CN,,0.83,,0.057,CH3CN,,,,,,,10.1002/asia.201700794
655,2_403,Ph-TMBDP,FALSE,CC4=C2N(C(C)=C4)[B-]([N+]1=C(C)C=C(C)C1=C2C3=CC=CC=C3)(F)F,501,511,n-hexane,,0.56,,0.05,n-hexane,,,,,,,10.1002/asia.201700794
656,2_403,Ph-TMBDP,FALSE,CC4=C2N(C(C)=C4)[B-]([N+]1=C(C)C=C(C)C1=C2C3=CC=CC=C3)(F)F,503,516,Toluene,,0.62,,0.023,Toluene,,,,,,,10.1002/asia.201700794
657,2_403,Ph-TMBDP,FALSE,CC4=C2N(C(C)=C4)[B-]([N+]1=C(C)C=C(C)C1=C2C3=CC=CC=C3)(F)F,500,512,THF,,0.56,,0.13,THF,,,,,,,10.1002/asia.201700794
658,2_403,Ph-TMBDP,FALSE,CC4=C2N(C(C)=C4)[B-]([N+]1=C(C)C=C(C)C1=C2C3=CC=CC=C3)(F)F,497,508,CH3CN,,0.52,,0.017,CH3CN,,,,,,,10.1002/asia.201700794
659,2_404,TMBDP,FALSE,[H]C(C2=C(C)C=C(C)N2[B-](F)3F)=C1[N+]3=C(C)C=C1C,509,518,toluene,,0.92,,0.061,toluene,,,,,,,10.1002/asia.201700794
660,2_404,TMBDP,FALSE,[H]C(C2=C(C)C=C(C)N2[B-](F)3F)=C1[N+]3=C(C)C=C1C,503,510,ethanol,,0.99,,0.058,ethanol,,,,,,,10.1002/asia.201700794
661,2_404,TMBDP,FALSE,[H]C(C2=C(C)C=C(C)N2[B-](F)3F)=C1[N+]3=C(C)C=C1C,501,508,CH3CN,,1,,0.069,CH3CN,,,,,,,10.1002/asia.201700794
662,2_405,BODIPYs 4,FALSE,BrC(C=C4)=[N](C4=C2C3=CC=C(Br)S3)[B](F)(F)N1C2=CC=C1Br,513,667,Acetonitrile,22000,0.37,,0.39,Acetonitrile,,,,,,,10.1016/j.poly.2019.114207
663,2_405,BODIPYs 4,FALSE,BrC(C=C4)=[N](C4=C2C3=CC=C(Br)S3)[B](F)(F)N1C2=CC=C1Br,519,661,Ethanol,25200,0.21,,0.84,Ethanol,,,,,,,10.1016/j.poly.2019.114207
664,2_405,BODIPYs 4,FALSE,BrC(C=C4)=[N](C4=C2C3=CC=C(Br)S3)[B](F)(F)N1C2=CC=C1Br,511,665,Methanol,25500,0.36,,0.3,Methanol,,,,,,,10.1016/j.poly.2019.114207
665,2_405,BODIPYs 4,FALSE,BrC(C=C4)=[N](C4=C2C3=CC=C(Br)S3)[B](F)(F)N1C2=CC=C1Br,520,660,Water/etanol,20100,0.22,,0.31,Water/ethanol(8:2 v/v),,,,,,,10.1016/j.poly.2019.114207
666,2_406,BODIPYs 6,FALSE,BrC(S4)=CC=C4C(C2=CC(Br)=CN2[B](F)3F)=C1[N]3=CC(Br)=C1,548,684,Acetonitrile,26500,0.32,,0.93,Acetonitrile,,,,,,,10.1016/j.poly.2019.114207
667,2_406,BODIPYs 6,FALSE,BrC(S4)=CC=C4C(C2=CC(Br)=CN2[B](F)3F)=C1[N]3=CC(Br)=C1,554,682,Ethanol,23600,0.27,,0.78,Ethanol,,,,,,,10.1016/j.poly.2019.114207
668,2_406,BODIPYs 6,FALSE,BrC(S4)=CC=C4C(C2=CC(Br)=CN2[B](F)3F)=C1[N]3=CC(Br)=C1,550,684,Methanol,24600,0.31,,0.61,Methanol,,,,,,,10.1016/j.poly.2019.114207
669,2_406,BODIPYs 6,FALSE,BrC(S4)=CC=C4C(C2=CC(Br)=CN2[B](F)3F)=C1[N]3=CC(Br)=C1,550,677,Water/etanol,17700,0.28,,0.82,Water/ethanol(8:2 v/v),,,,,,,10.1016/j.poly.2019.114207
670,2_407,BODIPYs 7,FALSE,BrC(S4)=CC=C4C(C2=CC=CN2[B](F)3F)=C1[N]3=CC(Br)=C1,526,663,Acetonitrile,31200,0.34,,0.74,Acetonitrile,,,,,,,10.1016/j.poly.2019.114207
671,2_407,BODIPYs 7,FALSE,BrC(S4)=CC=C4C(C2=CC=CN2[B](F)3F)=C1[N]3=CC(Br)=C1,529,672,Ethanol,50900,0.49,,0.44,Ethanol,,,,,,,10.1016/j.poly.2019.114207
672,2_407,BODIPYs 7,FALSE,BrC(S4)=CC=C4C(C2=CC=CN2[B](F)3F)=C1[N]3=CC(Br)=C1,527,673,Methanol,30700,0.46,,0.19,Methanol,,,,,,,10.1016/j.poly.2019.114207
673,2_407,BODIPYs 7,FALSE,BrC(S4)=CC=C4C(C2=CC=CN2[B](F)3F)=C1[N]3=CC(Br)=C1,528,671,Water/etanol,32600,0.35,,0.35,Water/ethanol(8:2 v/v),,,,,,,10.1016/j.poly.2019.114207
674,2_408,bodipy-functionalized cyclotriphosphazenes 6,FALSE,CC1=C(I)C(/C=C/C4=CC=C(OC)C=C4)=[N]3C1=C(C6=CC=C(OCCCN7C=C(CO[P@@]8(OC)=N[P@](OC)(OC)=N[P@@](OC)(OC)=N8)N=N7)C=C6)C2=C(C)C(I)=C(/C=C/C5=CC=C(OC)C=C5)N2[B](F)3F,660,685,dichloromethane,81000,,,0.66,dichloromethane,,,,,,,10.1007/s10895-016-1987-9
675,2_409,bodipy-functionalized cyclotriphosphazenes 7,FALSE,CC1=C(I)C(/C=C/C4=CC=C(Br)C=C4)=[N]3C1=C(C6=CC=C(OCCCN7C=C(CO[P@@]8(OC)=N[P@@](OC)(OC)=N[P@@](OC)(OC)=N8)N=N7)C=C6)C2=C(C)C(I)=C(/C=C/C5=CC=C(Br)C=C5)N2[B](F)3F,642,660,dichloromethane,98000,,,0.54,dichloromethane,,,,,,,10.1007/s10895-016-1987-9
676,2_410,bodipy-functionalized cyclotriphosphazenes 8,FALSE,CC1=C(I)C(/C=C/C4=CC=C([H])C=C4)=[N]3C1=C(C6=CC=C(OCCCN7C=C(CO[P@@]8(OC)=N[P@](OC)(OC)=N[P@@](OC)(OC)=N8)N=N7)C=C6)C2=C(C)C(I)=C(/C=C/C5=CC=C([H])C=C5)N2[B](F)3F,638,650,dichloromethane,74000,,,0.51,dichloromethane,,,,,,,10.1007/s10895-016-1987-9
677,2_411,DBD1,FALSE,CC4=C2N(C(/C=C/C5=CC(OCCOCCOCCOC)=C(OCCOCCOCCOC)C(OCCOCCOCCOC)=C5)=C4[H])[B](F)(F)[N]1=C(/C=C/C6=CC(OCCOCCOCCOC)=C(OCCOCCOCCOC)C(OCCOCCOCCOC)=C6)C([H])=C(C)C1=C2C3=CC=C(OCCCCN=[N+]=[N-])C=C3,646,664,DMSO,72500,0.35,,0.01,DMSO,,,,,,,10.1039/D0NJ02455D
678,2_412,DBD2,FALSE,CC4=C2N(C(/C=C/C5=CC(OCCOCCOCCOC)=C(OCCOCCOCCOC)C(OCCOCCOCCOC)=C5)=C4Br)[B](F)(F)[N]1=C(/C=C/C6=CC(OCCOCCOCCOC)=C(OCCOCCOCCOC)C(OCCOCCOCCOC)=C6)C(Br)=C(C)C1=C2C3=CC=C(OCCCCN=[N+]=[N-])C=C3,663,700,DMSO,97900,0.15,,0.24,DMSO,,,,,,,10.1039/D0NJ02455D
679,2_413,DBD3,FALSE,CC4=C2N(C(/C=C/C5=CC(OCCOCCOCCOC)=C(OCCOCCOCCOC)C(OCCOCCOCCOC)=C5)=C4I)[B](F)(F)[N]1=C(/C=C/C6=CC(OCCOCCOCCOC)=C(OCCOCCOCCOC)C(OCCOCCOCCOC)=C6)C(I)=C(C)C1=C2C3=CC=C(OCCCCN=[N+]=[N-])C=C3,660,696,DMSO,66500,0.09,,0.73,DMSO,,,,,,,10.1039/D0NJ02455D
680,2_414,SP-DBD1,FALSE,CC4=C2N(C(/C=C/C5=CC(OCCOCCOCCOC)=C(OCCOCCOCCOC)C(OCCOCCOCCOC)=C5)=C4[H])[B](F)(F)[N]1=C(/C=C/C7=CC(OCCOCCOCCOC)=C(OCCOCCOCCOC)C(OCCOCCOCCOC)=C7)C([H])=C(C)C1=C2C3=CC=C(OCCCCN6C=C(CO[B]8(N%12%13)N9C%10=NC%12=C%16C(C=CC=C%16)=C%13N=C%14[N]8=C(C%15=C%14C=CC=C%15)N=C9C%11=C%10C=CC=C%11)N=N6)C=C3,646,662,DMSO,108500,0.3,,0.08,DMSO,,,,,,,10.1039/D0NJ02455D
681,2_415,SP-DBD2,FALSE,CC4=C2N(C(/C=C/C5=CC(OCCOCCOCCOC)=C(OCCOCCOCCOC)C(OCCOCCOCCOC)=C5)=C4Br)[B](F)(F)[N]1=C(/C=C/C7=CC(OCCOCCOCCOC)=C(OCCOCCOCCOC)C(OCCOCCOCCOC)=C7)C(Br)=C(C)C1=C2C3=CC=C(OCCCCN6C=C(CO[B]8(N%12%13)N9C%10=NC%12=C%16C(C=CC=C%16)=C%13N=C%14[N]8=C(C%15=C%14C=CC=C%15)N=C9C%11=C%10C=CC=C%11)N=N6)C=C3,664,701,DMSO,68500,0.1,,0.35,DMSO,,,,,,,10.1039/D0NJ02455D
682,2_416,SP-DBD3,FALSE,CC4=C2N(C(/C=C/C5=CC(OCCOCCOCCOC)=C(OCCOCCOCCOC)C(OCCOCCOCCOC)=C5)=C4I)[B](F)(F)[N]1=C(/C=C/C7=CC(OCCOCCOCCOC)=C(OCCOCCOCCOC)C(OCCOCCOCCOC)=C7)C(I)=C(C)C1=C2C3=CC=C(OCCCCN6C=C(CO[B]8(N%12%13)N9C%10=NC%12=C%16C(C=CC=C%16)=C%13N=C%14[N]8=C(C%15=C%14C=CC=C%15)N=C9C%11=C%10C=CC=C%11)N=N6)C=C3,660,700,DMSO,46200,0.04,,0.91,DMSO,,,,,,,10.1039/D0NJ02455D
683,2_417,BOD-1,FALSE,CC2=C(/C=C(Br)\Br)C(C)=[N](C2=C3C4=CC=CC=C4)[B](F)(F)N1C3=C(C)C=C1C,513,533,CH2Cl2,89000,0.095,,0.72,CH2Cl2,,,,,,, 10.1039/d1cc01881g
684,2_418,BOD-2,FALSE,CC2=C(/C=C(Br)\Br)C(C)=[N](C2=C3C4=CC=CC=C4)[B](F)(F)N1C3=C(C)C(/C=C(Br)\Br)=C1C,525,552,CH2Cl2,93000,0.11,,0.64,CH2Cl2,,,,,,, 10.1039/d1cc01881g
685,2_419,2BrBOD,FALSE,[R]C(C2=C(C)C(Br)=C(C)N2[B](F)3F)=C1[N]3=C(C)C(Br)=C1C,538,569,CH2Cl2,41000,0.07,,0.21,CH2Cl2,,,,,,, 10.1039/d1cc01881g
686,2_420,2IBOD,FALSE,[R]C(C2=C(C)C(I)=C(C)N2[B](F)3F)=C1[N]3=C(C)C(I)=C1C,533,552,CH2Cl2,89000,0.027,,0.79,CH2Cl2,,,,,,, 10.1039/d1cc01881g
687,2_421,aza-BODIPY dyes A,FALSE,F[B]([N]3=C(C5=CC=C(OC)C=C5)C=C(C6=CC=CC=C6)C3=N4)(F)N1C4=C(C7=CC=CC=C7)C=C1C2=CC=C(OC)C=C2,688,725,chloroform,99000,0.36,,0.02,DMF,,,,,,,10.1021/acs.jmedchem.0c00882
688,2_422,aza-BODIPY dyes 1,FALSE,F[B]([N]3=C(C5=CC=C(OC)C=C5)C(Br)=C(C6=CC=CC=C6)C3=N4)(F)N1C4=C(C7=CC=CC=C7)C(Br)=C1C2=CC=C(OC)C=C2,679,720,chloroform,77000,0.17,,0.14,DMF,,,,,,,10.1021/acs.jmedchem.0c00882
689,2_423,aza-BODIPY dyes 2,FALSE,F[B]([N]3=C(C5=CC=C(OC)C=C5)C(I)=C(C6=CC=CC=C6)C3=N4)(F)N1C4=C(C7=CC=CC=C7)C(I)=C1C2=CC=C(OC)C=C2,679,723,chloroform,74000,0.03,,0.24,DMF,,,,,,,10.1021/acs.jmedchem.0c00882
690,2_424,aza-BODIPY dyes 3,FALSE,F[B]([N]3=C(C5=CC=C(OC)C=C5)C(Br)=C(C6=CC=CC=C6)C3=N4)(F)N1C4=C(C7=CC=CC=C7)C=C1C2=CC=C(OC)C=C2,679,720,chloroform,81000,0.34,,0.1,DMF,,,,,,,10.1021/acs.jmedchem.0c00882
691,2_425,aza-BODIPY dyes 4,FALSE,F[B]([N]3=C(C5=CC=C(OC)C=C5)C(I)=C(C6=CC=CC=C6)C3=N4)(F)N1C4=C(C7=CC=CC=C7)C=C1C2=CC=C(OC)C=C2,678,721,chloroform,97000,0.08,,0.52,DMF,,,,,,,10.1021/acs.jmedchem.0c00882
692,2_426,aza-BODIPY dyes 5,FALSE,F[B]([N]3=C(C5=CC=C(OC)C=C5)C(I)=C(C6=CC=CC=C6)C3=N4)(F)N1C4=C(C7=CC=CC=C7)C(Br)=C1C2=CC=C(OC)C=C2,679,720,chloroform,76000,0.07,,0.29,DMF,,,,,,,10.1021/acs.jmedchem.0c00882
693,2_427,aza-BODIPY dyes 6,FALSE,F[B]([N]3=C(C5=CC=C(C)C=C5)C(Br)=C(C6=CC=CC=C6)C3=N4)(F)N1C4=C(C7=CC=CC=C7)C(Br)=C1C2=CC=C(C)C=C2,658,685,chloroform,79900,0.04,,0.1,DMF,,,,,,,10.1021/acs.jmedchem.0c00882
694,2_428,aza-BODIPY dyes 7,FALSE,F[B]([N]3=C(C5=CC=C(C)C=C5)C(I)=C(C6=CC=CC=C6)C3=N4)(F)N1C4=C(C7=CC=CC=C7)C(I)=C1C2=CC=C(C)C=C2,662,688,chloroform,92000,0.02,,0.12,DMF,,,,,,,10.1021/acs.jmedchem.0c00882
695,2_429,aza-BODIPY dyes 8,FALSE,F[B]([N]3=C(C5=CC=C(C)C=C5)C(Br)=C(C6=CC=CC=C6)C3=N4)(F)N1C4=C(C7=CC=CC=C7)C([H])=C1C2=CC=C(C)C=C2,658,685,chloroform,83600,0.19,,0.05,DMF,,,,,,,10.1021/acs.jmedchem.0c00882
696,2_430,aza-BODIPY dyes 9,FALSE,F[B]([N]3=C(C5=CC=C(C)C=C5)C(I)=C(C6=CC=CC=C6)C3=N4)(F)N1C4=C(C7=CC=CC=C7)C([H])=C1C2=CC=C(C)C=C2,659,690,chloroform,89600,0.04,,0.14,DMF,,,,,,,10.1021/acs.jmedchem.0c00882
697,2_431,aza-BODIPY dyes 10,FALSE,F[B]([N]3=C(C5=CC=C(C)S5)C(I)=C(C7=CC=CC=C7)C3=N4)(F)N1C4=C(C6=CC=CC=C6)C(I)=C1C2=CC=C(C)S2,732,768,chloroform,91300,0.07,,0.14,DMF,,,,,,,10.1021/acs.jmedchem.0c00882
698,2_432,aza-BODIPY dyes 11,FALSE,F[B]([N]3=C(C5=CC=C(C)S5)C(I)=C(C6=CC=CC=C6)C3=N4)(F)N1C4=C(C7=CC=CC=C7)C([H])=C1C2=CC=C(C)S2,732,766,chloroform,71700,0.11,,0.17,DMF,,,,,,,10.1021/acs.jmedchem.0c00882
699,2_433,aza-BODIPY dyes 12,FALSE,[p-MeOPh]C(C(Br)=C5C6=CC=CC=C6)=[N](C5=N4)[B](F)(F)N1C4=C(C7=CC=CC=C7)C3=C1C2=CC=C(OC)C=C2CC3,692,724,chloroform,90300,0.44,,0.08,DMF,,,,,,,10.1021/acs.jmedchem.0c00882
700,2_434,aza-BODIPY dyes 13,FALSE,[p-MePh]C(C(Br)=C5C6=CC=CC=C6)=[N](C5=N4)[B](F)(F)N1C4=C(C7=CC=CC=C7)C3=C1C2=CC=C(OC)C=C2CC3,682,709,chloroform,104400,0.6,,0.08,DMF,,,,,,,10.1021/acs.jmedchem.0c00882
701,2_435,aza-BODIPY dyes 14,FALSE,[5-Me-thiophen-2-yl]C(C(Br)=C5C6=CC=CC=C6)=[N](C5=N4)[B](F)(F)N1C4=C(C7=CC=CC=C7)C3=C1C2=CC=C(OC)C=C2CC3,714,753,chloroform,73700,0.24,,0.11,DMF,,,,,,,10.1021/acs.jmedchem.0c00882
702,2_436,aza-BODIPY dyes 15,FALSE,[p-MeOPh]C(C(I)=C5C6=CC=CC=C6)=[N](C5=N4)[B](F)(F)N1C4=C(C7=CC=CC=C7)C3=C1C2=CC=C(OC)C=C2CC3,689,725,chloroform,101300,0.14,,0.51,DMF,,,,,,,10.1021/acs.jmedchem.0c00882
703,2_437,aza-BODIPY dyes 16,FALSE,[p-MePh]C(C(I)=C5C6=CC=CC=C6)=[N](C5=N4)[B](F)(F)N1C4=C(C7=CC=CC=C7)C3=C1C2=CC=C(OC)C=C2CC3,682,709,chloroform,110000,0.17,,0.16,DMF,,,,,,,10.1021/acs.jmedchem.0c00882
704,2_438,aza-BODIPY dyes 17,FALSE,[5-Me-thiophen-2-yl]C(C(I)=C5C6=CC=CC=C6)=[N](C5=N4)[B](F)(F)N1C4=C(C7=CC=CC=C7)C3=C1C2=CC=C(OC)C=C2CC3,716,756,chloroform,76900,0.16,,0.25,DMF,,,,,,,10.1021/acs.jmedchem.0c00882
705,2_439,aza-BODIPY dyes 18,FALSE,[thiophen-2-yl]C(C(I)=C5C6=CC=CC=C6)=[N](C5=N4)[B](F)(F)N1C4=C(C7=CC=CC=C7)C3=C1C2=CC=C(OC)C=C2CC3,695,740,chloroform,81500,0.16,,0.19,DMF,,,,,,,10.1021/acs.jmedchem.0c00882
